,genres,name,platform,score
0,Shooter,Call of Duty: WWII -- The Resistance,PlayStation 4,7.7
1,Strategy,Sid Meier's Civilization VI: Rise and Fall,PC,7.8
2,Fighting,Dissidia Final Fantasy NT,PlayStation 4,6.9
3,"Action, Adventure",Assassin's Creed Origins: The Hidden Ones,PlayStation 4,8.4
4,Platformer,Iconoclasts,PlayStation 4,8.4
5,Platformer,Iconoclasts,PlayStation Vita,8.4
6,Platformer,Iconoclasts,PC,8.4
7,Fighting,EA Sports UFC 3,Xbox One,7.5
8,Puzzle,Gorogoa,PC,8.5
9,Puzzle,Gorogoa,Macintosh,8.5
10,Puzzle,Gorogoa,iPhone,8.5
11,Puzzle,Gorogoa,Nintendo Switch,8.5
12,"Action, Adventure",Shadow of the Colossus,PlayStation 4,9.7
13,Adventure,Subnautica,PC,9.1
14,Platformer,Celeste,PlayStation 4,10
15,Platformer,Celeste,Nintendo Switch,10
16,Platformer,Celeste,Xbox One,10
17,Platformer,Celeste,PC,10
18,Action,Monster Hunter World,Xbox One,9.5
19,Action,Monster Hunter World,PlayStation 4,9.5
20,RPG,Lost Sphear,PlayStation 4,6.7
21,Fighting,Dragon Ball FighterZ,Xbox One,8.5
22,Fighting,Dragon Ball FighterZ,PlayStation 4,8.5
23,Fighting,Dragon Ball FighterZ,PC,8.5
24,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PlayStation 4,7.5
25,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,Android,7.5
26,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,iPhone,7.5
27,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PC,7.5
28,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,Xbox One,7.5
29,Shooter,Tom Clancy's Rainbow Six Siege,PC,8.5
30,Sports,AO Tennis,Xbox One,4.5
31,Sports,AO Tennis,PlayStation 4,4.5
32,Flight,InnerSpace,Nintendo Switch,6.5
33,Fighting,Street Fighter V: Arcade Edition,PC,9
34,Fighting,Street Fighter V: Arcade Edition,PlayStation 4,9
35,Adventure,L.A. Noire: The VR Case Files,PC,8.5
36,Fighting,Battlerite,PC,8.2
37,Shooter,PlayerUnknown's Battlegrounds,PC,9.5
38,Strategy,Sid Meier's Civilization VI,iPad,9.1
39,Strategy,Tiny Metal,PC,6.8
40,Adventure,Life is Strange: Before the Storm -- Episode 3: Hell is Empty,PC,7.8
41,Action,Dreadnought,PlayStation 4,7.4
42,Puzzle,Bridge Constructor Portal,PC,8
43,RPG,Fallout 4 VR,PC,7.9
44,Puzzle,Opus Magnum,PC,9.5
45,Action,Battlestar Galactica Deadlock,PlayStation 4,7.8
46,Adventure,The Legend of Zelda: Breath of the Wild -- Expansion Pass DLC #2 -- The Champions' Ballad,Nintendo Switch,7.8
47,Action,Hello Neighbor,PC,4.1
48,Shooter,Destiny 2 – Expansion I: Curse of Osiris,PC,5.5
49,Shooter,Destiny 2 – Expansion I: Curse of Osiris,Xbox One,5.5
50,Shooter,Destiny 2 – Expansion I: Curse of Osiris,PlayStation 4,5.5
51,Sports,WWE 2K18,Nintendo Switch,3.8
52,Shooter,Nine Parchments,Nintendo Switch,7
53,Shooter,Nine Parchments,PC,7
54,Sports,Rocket League,Nintendo Switch,9.3
55,Sports,Rocket League,PC,9.3
56,Sports,Rocket League,PlayStation 4,9.3
57,Sports,Rocket League,Xbox One,9.3
58,Shooter,Doom VFR,PC,8
59,Shooter,Doom VFR,PlayStation 4,8
60,"Action, RPG",The Surge,PC,7.5
61,RPG,Seven: The Days Long Gone,PC,4
62,"Music, Board",DropMix,iPhone,8
63,"Music, Board",DropMix,Android,8
64,RPG,Xenoblade Chronicles 2,Nintendo Switch,8.5
65,"Action, Adventure",Resident Evil Revelations 2,Nintendo Switch,7
66,RPG,The Elder Scrolls V: Skyrim VR,PlayStation 4,6.8
67,Party,Battle Chef Brigade,Nintendo Switch,8
68,Party,Battle Chef Brigade,PC,8
69,Adventure,L.A. Noire,Nintendo Switch,8
70,Simulation,The Sims 4,Xbox One,5.5
71,Simulation,The Sims 4,PlayStation 4,5.5
72,Adventure,Batman: The Enemy Within -- Episode 3: Fractured Mask,PC,7
73,Hardware,iPhone X,iPhone,8.5
74,Shooter,Star Wars Battlefront II,Xbox One,6.5
