,genres,name,platform,score
0,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,Android,7.5
1,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,iPhone,7.5
2,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PC,7.5
3,Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,Xbox One,7.5
4,Shooter,Tom Clancy's Rainbow Six Siege,PC,8.5
5,Sports,AO Tennis,Xbox One,4.5
6,Sports,AO Tennis,PlayStation 4,4.5
7,Flight,InnerSpace,Nintendo Switch,6.5
8,Fighting,Street Fighter V: Arcade Edition,PC,9
9,Fighting,Street Fighter V: Arcade Edition,PlayStation 4,9
10,Adventure,L.A. Noire: The VR Case Files,PC,8.5
11,Fighting,Battlerite,PC,8.2
12,Shooter,PlayerUnknown's Battlegrounds,PC,9.5
13,Strategy,Sid Meier's Civilization VI,iPad,9.1
14,Strategy,Tiny Metal,PC,6.8
15,Adventure,Life is Strange: Before the Storm -- Episode 3: Hell is Empty,PC,7.8
16,Action,Dreadnought,PlayStation 4,7.4
17,Puzzle,Bridge Constructor Portal,PC,8
18,RPG,Fallout 4 VR,PC,7.9
19,Puzzle,Opus Magnum,PC,9.5
20,Action,Battlestar Galactica Deadlock,PlayStation 4,7.8
21,Adventure,The Legend of Zelda: Breath of the Wild -- Expansion Pass DLC #2 -- The Champions' Ballad,Nintendo Switch,7.8
22,Action,Hello Neighbor,PC,4.1
23,Shooter,Destiny 2 – Expansion I: Curse of Osiris,PC,5.5
24,Shooter,Destiny 2 – Expansion I: Curse of Osiris,Xbox One,5.5
