,genres,name,score
0,                Shooter            ,                Call of Duty: WWII -- The Resistance            ,7.7
1,                Strategy            ,                Sid Meier's Civilization VI: Rise and Fall            ,7.8
2,                Fighting            ,                Dissidia Final Fantasy NT            ,6.9
3,"                Action, Adventure            ",                Assassin's Creed Origins: The Hidden Ones            ,8.4
4,                Platformer            ,                Iconoclasts            ,8.4
5,                Platformer            ,                Iconoclasts            ,8.4
6,                Platformer            ,                Iconoclasts            ,8.4
7,                Fighting            ,                EA Sports UFC 3            ,7.5
8,                Puzzle            ,                Gorogoa            ,8.5
9,                Puzzle            ,                Gorogoa            ,8.5
10,                Puzzle            ,                Gorogoa            ,8.5
11,                Puzzle            ,                Gorogoa            ,8.5
12,"                Action, Adventure            ",                Shadow of the Colossus            ,9.7
13,                Adventure            ,                Subnautica            ,9.1
14,                Platformer            ,                Celeste            ,10.0
15,                Platformer            ,                Celeste            ,10.0
16,                Platformer            ,                Celeste            ,10.0
17,                Platformer            ,                Celeste            ,10.0
18,                Action            ,                Monster Hunter World            ,9.5
19,                Action            ,                Monster Hunter World            ,9.5
20,                RPG            ,                Lost Sphear            ,6.7
21,                Fighting            ,                Dragon Ball FighterZ            ,8.5
22,                Fighting            ,                Dragon Ball FighterZ            ,8.5
23,                Fighting            ,                Dragon Ball FighterZ            ,8.5
24,                Adventure            ,                Batman: The Enemy Within -- Episode 4: What Ails You            ,7.5
25,                Shooter            ,                Call of Duty: WWII -- The Resistance            ,7.7
26,                Strategy            ,                Sid Meier's Civilization VI: Rise and Fall            ,7.8
27,                Fighting            ,                Dissidia Final Fantasy NT            ,6.9
28,"                Action, Adventure            ",                Assassin's Creed Origins: The Hidden Ones            ,8.4
29,                Platformer            ,                Iconoclasts            ,8.4
30,                Platformer            ,                Iconoclasts            ,8.4
31,                Platformer            ,                Iconoclasts            ,8.4
32,                Fighting            ,                EA Sports UFC 3            ,7.5
33,                Puzzle            ,                Gorogoa            ,8.5
34,                Puzzle            ,                Gorogoa            ,8.5
35,                Puzzle            ,                Gorogoa            ,8.5
36,                Puzzle            ,                Gorogoa            ,8.5
37,"                Action, Adventure            ",                Shadow of the Colossus            ,9.7
38,                Adventure            ,                Subnautica            ,9.1
39,                Platformer            ,                Celeste            ,10.0
40,                Platformer            ,                Celeste            ,10.0
41,                Platformer            ,                Celeste            ,10.0
42,                Platformer            ,                Celeste            ,10.0
43,                Action            ,                Monster Hunter World            ,9.5
44,                Action            ,                Monster Hunter World            ,9.5
45,                RPG            ,                Lost Sphear            ,6.7
46,                Fighting            ,                Dragon Ball FighterZ            ,8.5
47,                Fighting            ,                Dragon Ball FighterZ            ,8.5
48,                Fighting            ,                Dragon Ball FighterZ            ,8.5
49,                Adventure            ,                Batman: The Enemy Within -- Episode 4: What Ails You            ,7.5
